Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,season,league_name,league_id,team_name,Sh,SoT,SoT%,G/Sh,G/SoT,Dist
2017-06-24,19:00,Série A,Matchweek 10,Sat,Home,L,0,1,Sport Recife,57.0,7272.0,Renato,4-2-3-1,4-2-3-1,Rafael Traci,Match Report,,2017,brasileirao,24,2017 Santos,9,3,33.3,0.0,0.0,
2017-07-01,19:00,Série A,Matchweek 11,Sat,Away,D,1,1,Atl Goianiense,67.0,5898.0,David Braz,4-2-3-1,4-2-3-1,Claudio Francisco Lima e Silva,Match Report,,2017,brasileirao,24,2017 Santos,13,2,15.4,0.08,0.5,
2017-07-05,19:15,Libertadores,Round of 16,Wed,Away,W,3,2,br Ath Paranaense,43.0,,Renato,4-2-3-1,4-1-4-1,Roberto Tobar,Match Report,Leg 1 of 2,2017,brasileirao,24,2017 Santos,10,8,80.0,0.3,0.38,
2017-07-09,19:00,Série A,Matchweek 12,Sun,Home,W,3,2,São Paulo,51.0,10322.0,Renato,4-2-3-1,4-2-3-1,Sandro Ricci,Match Report,,2017,brasileirao,24,2017 Santos,17,8,47.1,0.18,0.38,
2017-07-12,19:30,Série A,Matchweek 13,Wed,Away,W,1,0,Atlético Mineiro,37.0,12949.0,David Braz,4-2-3-1,4-2-3-1,Marcelo de Lima Henrique,Match Report,,2017,brasileirao,24,2017 Santos,10,3,30.0,0.1,0.33,
2017-07-16,16:00,Série A,Matchweek 14,Sun,Away,D,0,0,Vasco da Gama,56.0,,David Braz,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2017,brasileirao,24,2017 Santos,4,0,0.0,0.0,,
2017-07-19,19:30,Série A,Matchweek 15,Wed,Home,W,1,0,Chapecoense,59.0,5533.0,David Braz,4-2-3-1,4-1-4-1,Elmo Alves Resende Cunha,Match Report,,2017,brasileirao,24,2017 Santos,7,5,71.4,0.14,0.2,
2017-07-23,11:00,Série A,Matchweek 16,Sun,Home,W,3,0,Bahia,51.0,32869.0,David Braz,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,2017,brasileirao,24,2017 Santos,11,5,45.5,0.27,0.6,
2017-07-30,19:00,Série A,Matchweek 17,Sun,Away,D,1,1,Grêmio,41.0,30034.0,Ricardo Oliveira,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,,2017,brasileirao,24,2017 Santos,4,1,25.0,0.25,1.0,
2017-08-02,21:45,Série A,Matchweek 18,Wed,Home,W,3,2,Flamengo,46.0,27030.0,Ricardo Oliveira,4-2-3-1,4-2-3-1,Eduardo Tomaz De Aquino Valadão,Match Report,,2017,brasileirao,24,2017 Santos,14,5,35.7,0.21,0.6,
2017-08-06,19:00,Série A,Matchweek 19,Sun,Away,D,0,0,Avaí,61.0,5803.0,Ricardo Oliveira,4-2-3-1,4-2-3-1,Pablo Dos Santos Alves,Match Report,,2017,brasileirao,24,2017 Santos,13,3,23.1,0.0,0.0,
2017-08-10,21:45,Libertadores,Round of 16,Thu,Home,W,1,0,br Ath Paranaense,45.0,,Ricardo Oliveira,4-2-3-1,4-2-3-1,Mauro Vigliano,Match Report,Leg 2 of 2; Santos won,2017,brasileirao,24,2017 Santos,9,3,33.3,0.11,0.33,
2017-08-14,20:00,Série A,Matchweek 20,Mon,Home,D,0,0,Fluminense,52.0,22018.0,Ricardo Oliveira,4-2-3-1,4-2-3-1,André Luiz de Freitas Castro,Match Report,,2017,brasileirao,24,2017 Santos,15,3,20.0,0.0,0.0,
2017-08-20,19:00,Série A,Matchweek 21,Sun,Away,D,0,0,Coritiba,55.0,8426.0,David Braz,4-2-3-1,4-3-3,Sandro Ricci,Match Report,,2017,brasileirao,24,2017 Santos,20,2,10.0,0.0,0.0,
2017-08-27,19:00,Série A,Matchweek 22,Sun,Away,D,1,1,Cruzeiro,46.0,12055.0,Ricardo Oliveira,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2017,brasileirao,24,2017 Santos,9,3,33.3,0.11,0.33,
2017-09-10,16:00,Série A,Matchweek 23,Sun,Home,W,2,0,Corinthians,44.0,12567.0,Ricardo Oliveira,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,,2017,brasileirao,24,2017 Santos,14,9,64.3,0.14,0.22,
2017-09-13,19:45,Libertadores,Quarter-finals,Wed,Away,D,1,1,ec Barcelona,34.0,,Renato,4-2-3-1,4-2-3-1,Daniel Fedorczuk,Match Report,Leg 1 of 2,2017,brasileirao,24,2017 Santos,9,3,33.3,0.11,0.33,
2017-09-16,19:00,Série A,Matchweek 24,Sat,Away,L,0,2,Botafogo (RJ),50.0,5780.0,Vanderlei,4-2-3-1,4-2-3-1,Igor Junior Benevenuto,Match Report,,2017,brasileirao,24,2017 Santos,16,0,0.0,0.0,,
2017-09-20,21:45,Libertadores,Quarter-finals,Wed,Home,L,0,1,ec Barcelona,48.0,,Ricardo Oliveira,4-2-3-1,4-2-3-1,Víctor Carrillo,Match Report,Leg 2 of 2; Barcelona won,2017,brasileirao,24,2017 Santos,10,2,20.0,0.0,0.0,
2017-09-23,21:00,Série A,Matchweek 25,Sat,Home,W,1,0,Ath Paranaense,45.0,4257.0,Ricardo Oliveira,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2017,brasileirao,24,2017 Santos,21,6,28.6,0.05,0.17,
2017-09-30,19:00,Série A,Matchweek 26,Sat,Away,W,1,0,Palmeiras,38.0,37527.0,Ricardo Oliveira,4-2-3-1,4-3-3,Marcelo Aparecido Ribeiro De Souza,Match Report,,2017,brasileirao,24,2017 Santos,8,4,50.0,0.13,0.25,
2017-10-12,17:00,Série A,Matchweek 27,Thu,Away,D,1,1,Ponte Preta,59.0,13892.0,Ricardo Oliveira,4-2-3-1,4-1-4-1,Raphael Claus,Match Report,,2017,brasileirao,24,2017 Santos,13,5,38.5,0.08,0.2,
2017-10-16,20:00,Série A,Matchweek 28,Mon,Home,D,2,2,Vitória,54.0,19007.0,Ricardo Oliveira,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,,2017,brasileirao,24,2017 Santos,13,5,38.5,0.08,0.2,
2017-10-19,20:00,Série A,Matchweek 29,Thu,Away,D,1,1,Sport Recife,48.0,14802.0,Ricardo Oliveira,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2017,brasileirao,24,2017 Santos,8,3,37.5,0.13,0.33,
2017-10-22,17:00,Série A,Matchweek 30,Sun,Home,W,1,0,Atl Goianiense,56.0,4245.0,Ricardo Oliveira,4-2-3-1,4-1-4-1,Pericles Bassols Pegado Cortez,Match Report,,2017,brasileirao,24,2017 Santos,18,8,44.4,0.06,0.13,
2017-10-28,17:00,Série A,Matchweek 31,Sat,Away,L,1,2,São Paulo,54.0,40004.0,Renato,4-2-3-1,4-1-4-1,Anderson Daronco,Match Report,,2017,brasileirao,24,2017 Santos,7,2,28.6,0.14,0.5,
2017-11-04,17:00,Série A,Matchweek 32,Sat,Home,W,3,1,Atlético Mineiro,50.0,11418.0,Ricardo Oliveira,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,,2017,brasileirao,24,2017 Santos,15,5,33.3,0.2,0.6,
2017-11-08,21:45,Série A,Matchweek 33,Wed,Home,L,1,2,Vasco da Gama,57.0,7841.0,Ricardo Oliveira,4-2-3-1,4-4-1-1,Rafael Traci,Match Report,,2017,brasileirao,24,2017 Santos,8,3,37.5,0.13,0.33,
2017-11-13,20:00,Série A,Matchweek 34,Mon,Away,L,0,2,Chapecoense,56.0,11301.0,Ricardo Oliveira,4-3-3,4-2-3-1,Jailson Macêdo Freitas,Match Report,,2017,brasileirao,24,2017 Santos,9,3,33.3,0.0,0.0,
2017-11-16,20:00,Série A,Matchweek 35,Thu,Away,L,1,3,Bahia,59.0,22896.0,Ricardo Oliveira,4-2-3-1,4-2-3-1,Sandro Ricci,Match Report,,2017,brasileirao,24,2017 Santos,12,7,58.3,0.08,0.14,
2017-11-19,19:00,Série A,Matchweek 36,Sun,Home,W,1,0,Grêmio,42.0,4206.0,Renato,4-2-3-1,4-2-3-1,Pericles Bassols Pegado Cortez,Match Report,,2017,brasileirao,24,2017 Santos,11,7,63.6,0.09,0.14,
2017-11-26,19:00,Série A,Matchweek 37,Sun,Away,W,2,1,Flamengo,43.0,15456.0,Ricardo Oliveira,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,,2017,brasileirao,24,2017 Santos,3,2,66.7,0.67,1.0,
2017-12-03,17:00,Série A,Matchweek 38,Sun,Home,D,1,1,Avaí,56.0,7639.0,Renato,4-2-3-1,4-2-4-0,Wagner do Nascimento Magalhaes,Match Report,,2017,brasileirao,24,2017 Santos,20,5,25.0,0.05,0.2,
2017-03-09,18:30,Libertadores,Group stage,Thu,Away,W,2,0,ve Zamora,56.0,,Marcelo Oliveira,4-2-3-1,4-4-2,Darío Herrera,Match Report,,2017,brasileirao,24,2017 Grêmio,13,4,30.8,0.08,0.25,
2017-04-11,21:45,Libertadores,Group stage,Tue,Home,W,3,2,cl Iquique,54.0,,Maicon Souza,4-2-3-1,4-2-3-1,Esteban Ostojich,Match Report,,2017,brasileirao,24,2017 Grêmio,17,8,47.1,0.12,0.25,
2017-04-20,18:30,Libertadores,Group stage,Thu,Away,D,1,1,py Guaraní,42.0,,Lucas Barrios,4-2-3-1,4-4-2,Wilmar Roldán,Match Report,,2017,brasileirao,24,2017 Grêmio,13,4,30.8,0.08,0.25,
2017-04-27,21:45,Libertadores,Group stage,Thu,Home,W,4,1,py Guaraní,48.0,,Marcelo Oliveira,4-4-1-1,4-5-1,Patricio Loustau,Match Report,,2017,brasileirao,24,2017 Grêmio,12,5,41.7,0.33,0.8,
2017-05-03,19:30,Libertadores,Group stage,Wed,Away,L,1,2,cl Iquique,50.0,,Pedro Geromel,4-2-3-1,4-2-3-1,Germán Delfino,Match Report,,2017,brasileirao,24,2017 Grêmio,7,3,42.9,0.14,0.33,
2017-05-14,19:00,Série A,Matchweek 1,Sun,Home,W,2,0,Botafogo (RJ),52.0,18551.0,Pedro Geromel,4-2-3-1,4-3-2-1,Braulio da Silva Machado,Match Report,,2017,brasileirao,24,2017 Grêmio,20,9,45.0,0.1,0.22,
2017-05-21,16:00,Série A,Matchweek 2,Sun,Away,W,2,0,Ath Paranaense,40.0,17244.0,Pedro Geromel,4-2-3-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,2017,brasileirao,24,2017 Grêmio,6,4,66.7,0.33,0.5,
2017-05-25,21:45,Libertadores,Group stage,Thu,Home,W,4,0,ve Zamora,61.0,,Pedro Geromel,4-2-3-1,4-2-3-1,Juan Albarracín,Match Report,,2017,brasileirao,24,2017 Grêmio,27,12,44.4,0.11,0.25,
2017-05-28,18:00,Série A,Matchweek 3,Sun,Away,L,3,4,Sport Recife,33.0,3441.0,Bressan,3-4-3,4-2-3-1,Jailson Macêdo Freitas,Match Report,,2017,brasileirao,24,2017 Grêmio,12,6,50.0,0.17,0.33,
2017-06-04,16:00,Série A,Matchweek 4,Sun,Home,W,2,0,Vasco da Gama,58.0,22578.0,Pedro Geromel,4-2-3-1,4-2-4-0,Sandro Ricci,Match Report,,2017,brasileirao,24,2017 Grêmio,11,2,18.2,0.09,0.5,
2017-06-08,20:00,Série A,Matchweek 5,Thu,Away,W,6,3,Chapecoense,52.0,14403.0,Marcelo Grohe,4-2-3-1,4-1-4-1,Rodolpho Toski Marques,Match Report,,2017,brasileirao,24,2017 Grêmio,10,7,70.0,0.6,0.86,
2017-06-12,20:00,Série A,Matchweek 6,Mon,Home,W,1,0,Bahia,64.0,22103.0,Maicon Souza,4-2-3-1,4-2-3-1,Eduardo Tomaz De Aquino Valadão,Match Report,,2017,brasileirao,24,2017 Grêmio,19,6,31.6,0.05,0.17,
2017-06-15,21:00,Série A,Matchweek 7,Thu,Away,W,2,0,Fluminense,50.0,11652.0,Maicon Souza,4-2-3-1,4-2-3-1,Elmo Alves Resende Cunha,Match Report,,2017,brasileirao,24,2017 Grêmio,12,4,33.3,0.17,0.5,
2017-06-19,20:00,Série A,Matchweek 8,Mon,Away,D,3,3,Cruzeiro,45.0,20384.0,Pedro Geromel,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,,2017,brasileirao,24,2017 Grêmio,15,7,46.7,0.2,0.43,
2017-06-22,21:00,Série A,Matchweek 9,Thu,Home,W,2,0,Coritiba,52.0,19035.0,Pedro Geromel,4-2-3-1,4-3-3,Pericles Bassols Pegado Cortez,Match Report,,2017,brasileirao,24,2017 Grêmio,17,12,70.6,0.12,0.17,
2017-06-25,16:00,Série A,Matchweek 10,Sun,Home,L,0,1,Corinthians,57.0,50116.0,Pedro Geromel,4-2-3-1,4-2-3-1,Wilton Sampaio,Match Report,,2017,brasileirao,24,2017 Grêmio,14,6,42.9,0.0,0.0,
2017-07-01,16:00,Série A,Matchweek 11,Sat,Away,L,0,1,Palmeiras,40.0,31395.0,Marcelo Oliveira,4-2-3-1,4-3-3,Wagner do Nascimento Magalhaes,Match Report,,2017,brasileirao,24,2017 Grêmio,5,2,40.0,0.0,0.0,
2017-07-04,19:15,Libertadores,Round of 16,Tue,Away,W,1,0,ar Godoy Cruz,54.0,,Pedro Geromel,4-2-3-1,4-1-3-2,Víctor Carrillo,Match Report,Leg 1 of 2,2017,brasileirao,24,2017 Grêmio,9,2,22.2,0.11,0.5,
2017-07-09,16:00,Série A,Matchweek 12,Sun,Home,L,0,2,Avaí,73.0,27222.0,Pedro Geromel,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,,2017,brasileirao,24,2017 Grêmio,19,11,57.9,0.0,0.0,
2017-07-13,19:30,Série A,Matchweek 13,Thu,Away,W,1,0,Flamengo,39.0,18204.0,Pedro Geromel,4-2-3-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,2017,brasileirao,24,2017 Grêmio,4,3,75.0,0.25,0.33,
2017-07-16,16:00,Série A,Matchweek 14,Sun,Home,W,3,1,Ponte Preta,61.0,19292.0,Pedro Geromel,4-2-3-1,5-3-2,Claudio Francisco Lima e Silva,Match Report,,2017,brasileirao,24,2017 Grêmio,12,6,50.0,0.17,0.33,
2017-07-19,19:30,Série A,Matchweek 15,Wed,Away,W,3,1,Vitória,49.0,5541.0,Maicon Souza,4-1-4-1,4-2-2-2,Pericles Bassols Pegado Cortez,Match Report,,2017,brasileirao,24,2017 Grêmio,7,5,71.4,0.43,0.6,
2017-07-24,20:00,Série A,Matchweek 16,Mon,Away,D,1,1,São Paulo,45.0,51511.0,Maicon Souza,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2017,brasileirao,24,2017 Grêmio,10,5,50.0,0.1,0.2,
2017-07-30,19:00,Série A,Matchweek 17,Sun,Home,D,1,1,Santos,59.0,30034.0,Pedro Geromel,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,,2017,brasileirao,24,2017 Grêmio,22,8,36.4,0.05,0.13,
2017-08-02,21:45,Série A,Matchweek 18,Wed,Away,W,1,0,Atl Goianiense,50.0,5253.0,Marcelo Grohe,4-1-4-1,4-2-3-1,Igor Junior Benevenuto,Match Report,,2017,brasileirao,24,2017 Grêmio,11,4,36.4,0.09,0.25,
2017-08-06,16:00,Série A,Matchweek 19,Sun,Home,W,2,0,Atlético Mineiro,62.0,22702.0,Maicon Souza,4-2-3-1,4-1-4-1,Flavio Rodrigues De Souza,Match Report,,2017,brasileirao,24,2017 Grêmio,7,4,57.1,0.29,0.5,
2017-08-09,19:15,Libertadores,Round of 16,Wed,Home,W,2,1,ar Godoy Cruz,59.0,,Maicon Souza,4-2-3-1,4-2-2-2,Enrique Cáceres,Match Report,Leg 2 of 2; Grêmio won,2017,brasileirao,24,2017 Grêmio,11,4,36.4,0.18,0.5,
2017-08-13,19:00,Série A,Matchweek 20,Sun,Away,L,0,1,Botafogo (RJ),62.0,6352.0,Marcelo Oliveira,4-2-3-1,4-2-3-1,Wagner Reway,Match Report,,2017,brasileirao,24,2017 Grêmio,14,5,35.7,0.0,0.0,
2017-08-20,11:00,Série A,Matchweek 21,Sun,Home,D,0,0,Ath Paranaense,52.0,15369.0,Marcelo Oliveira,4-2-3-1,4-2-3-1,Jailson Macêdo Freitas,Match Report,,2017,brasileirao,24,2017 Grêmio,7,2,28.6,0.0,0.0,
2017-09-02,16:00,Série A,Matchweek 22,Sat,Home,W,5,0,Sport Recife,52.0,17518.0,Ramiro Benetti,4-2-3-1,4-3-3,André Luiz de Freitas Castro,Match Report,,2017,brasileirao,24,2017 Grêmio,14,7,50.0,0.29,0.57,
2017-09-09,18:00,Série A,Matchweek 23,Sat,Away,L,0,1,Vasco da Gama,64.0,,Léo Moura,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,,2017,brasileirao,24,2017 Grêmio,15,3,20.0,0.0,0.0,
2017-09-13,21:45,Libertadores,Quarter-finals,Wed,Away,D,0,0,br Botafogo (RJ),54.0,,Lucas Barrios,4-2-3-1,4-2-3-1,José Argote,Match Report,Leg 1 of 2,2017,brasileirao,24,2017 Grêmio,11,3,27.3,0.0,0.0,
2017-09-17,16:00,Série A,Matchweek 24,Sun,Home,L,0,1,Chapecoense,77.0,14618.0,Ramiro Benetti,4-2-3-1,4-1-4-1,Marcelo de Lima Henrique,Match Report,,2017,brasileirao,24,2017 Grêmio,17,4,23.5,0.0,0.0,
2017-09-20,21:45,Libertadores,Quarter-finals,Wed,Home,W,1,0,br Botafogo (RJ),52.0,,Pedro Geromel,4-2-3-1,4-2-3-1,Patricio Loustau,Match Report,Leg 2 of 2; Grêmio won,2017,brasileirao,24,2017 Grêmio,16,4,25.0,0.06,0.25,
2017-09-24,19:00,Série A,Matchweek 25,Sun,Away,L,0,1,Bahia,58.0,12789.0,Edílson Mendes,4-2-3-1,4-2-3-1,Luiz Flavio De Oliveira,Match Report,,2017,brasileirao,24,2017 Grêmio,14,4,28.6,0.0,0.0,
2017-10-01,16:00,Série A,Matchweek 26,Sun,Home,W,1,0,Fluminense,62.0,15727.0,Pedro Geromel,4-2-3-1,4-3-2-1,Rafael Traci,Match Report,,2017,brasileirao,24,2017 Grêmio,21,10,47.6,0.05,0.1,
2017-10-11,21:45,Série A,Matchweek 27,Wed,Home,L,0,1,Cruzeiro,56.0,7851.0,Pedro Geromel,4-2-3-1,4-2-3-1,Rodrigo Batista Raposo,Match Report,,2017,brasileirao,24,2017 Grêmio,12,3,25.0,0.0,0.0,
2017-10-15,19:00,Série A,Matchweek 28,Sun,Away,W,1,0,Coritiba,45.0,10814.0,Pedro Geromel,4-2-3-1,4-2-3-1,André Luiz de Freitas Castro,Match Report,,2017,brasileirao,24,2017 Grêmio,6,1,16.7,0.17,1.0,
2017-10-18,21:45,Série A,Matchweek 29,Wed,Away,D,0,0,Corinthians,45.0,40008.0,Pedro Geromel,4-2-3-1,4-2-3-1,Heber Roberto Lopes,Match Report,,2017,brasileirao,24,2017 Grêmio,10,3,30.0,0.0,0.0,
2017-10-22,17:00,Série A,Matchweek 30,Sun,Home,L,1,3,Palmeiras,49.0,16238.0,Marcelo Oliveira,4-2-3-1,4-2-3-1,Ricardo Marques Ribeiro,Match Report,,2017,brasileirao,24,2017 Grêmio,6,2,33.3,0.17,0.5,
2017-10-25,18:45,Libertadores,Semi-finals,Wed,Away,W,3,0,ec Barcelona,47.0,,Pedro Geromel,4-2-3-1,4-2-3-1,Néstor Pitana,Match Report,Leg 1 of 2,2017,brasileirao,24,2017 Grêmio,9,5,55.6,0.33,0.6,
2017-10-29,19:00,Série A,Matchweek 31,Sun,Away,D,2,2,Avaí,47.0,9880.0,Marcelo Oliveira,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2017,brasileirao,24,2017 Grêmio,8,4,50.0,0.25,0.5,
2017-11-01,21:45,Libertadores,Semi-finals,Wed,Home,L,0,1,ec Barcelona,48.0,,Pedro Geromel,4-2-3-1,4-2-3-1,Roberto Tobar,Match Report,Leg 2 of 2; Grêmio won,2017,brasileirao,24,2017 Grêmio,11,2,18.2,0.0,0.0,
2017-11-05,17:00,Série A,Matchweek 32,Sun,Home,W,3,1,Flamengo,59.0,18199.0,Pedro Geromel,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,,2017,brasileirao,24,2017 Grêmio,11,6,54.5,0.27,0.5,
2017-11-08,19:30,Série A,Matchweek 33,Wed,Away,W,1,0,Ponte Preta,59.0,6226.0,Marcelo Oliveira,4-2-3-1,4-1-4-1,Sandro Ricci,Match Report,,2017,brasileirao,24,2017 Grêmio,8,2,25.0,0.13,0.5,
2017-11-12,17:00,Série A,Matchweek 34,Sun,Home,D,1,1,Vitória,71.0,14021.0,Pedro Geromel,4-2-3-1,4-3-3,Marcelo Aparecido Ribeiro De Souza,Match Report,,2017,brasileirao,24,2017 Grêmio,16,5,31.3,0.06,0.2,
2017-11-15,19:30,Série A,Matchweek 35,Wed,Home,W,1,0,São Paulo,39.0,20542.0,Pedro Geromel,4-2-3-1,4-1-4-1,Rodolpho Toski Marques,Match Report,,2017,brasileirao,24,2017 Grêmio,13,5,38.5,0.08,0.2,
2017-11-19,19:00,Série A,Matchweek 36,Sun,Away,L,0,1,Santos,58.0,4206.0,Bressan,4-2-3-1,4-2-3-1,Pericles Bassols Pegado Cortez,Match Report,,2017,brasileirao,24,2017 Grêmio,12,2,16.7,0.0,0.0,
2017-11-22,21:45,Libertadores,Finals,Wed,Home,W,1,0,ar Lanús,55.0,,Pedro Geromel,4-2-3-1,4-3-3,Julio Bascuñán,Match Report,Leg 1 of 2,2017,brasileirao,24,2017 Grêmio,11,3,27.3,0.09,0.33,
2017-11-26,17:00,Série A,Matchweek 37,Sun,Home,D,1,1,Atl Goianiense,51.0,6783.0,Cristian Baroni,4-2-3-1,4-2-3-1,Bruno Arleu de Araujo,Match Report,,2017,brasileirao,24,2017 Grêmio,10,4,40.0,0.1,0.25,
2017-11-29,20:45,Libertadores,Finals,Wed,Away,W,2,1,ar Lanús,34.0,,Pedro Geromel,4-2-3-1,4-3-3,Enrique Cáceres,Match Report,Leg 2 of 2; Grêmio won,2017,brasileirao,24,2017 Grêmio,14,3,21.4,0.14,0.67,
2017-12-03,17:00,Série A,Matchweek 38,Sun,Away,L,3,4,Atlético Mineiro,37.0,19116.0,Bruno Grassi,4-2-3-1,4-2-3-1,Marcelo Aparecido Ribeiro De Souza,Match Report,,2017,brasileirao,24,2017 Grêmio,9,5,55.6,0.33,0.6,
2017-04-04,21:45,Sudamericana,First stage,Tue,Home,W,2,1,py Nacional,,16784.0,Manoel,4-5-1,4-4-2,Juan Soto,Match Report,Leg 1 of 2,2017,brasileirao,24,2017 Cruzeiro,0,0,,,,
2017-05-10,18:15,Sudamericana,First stage,Wed,Away,L,1 (2),2 (3),py Nacional,,,Henrique Pacheco Lima,4-2-3-1,4-2-2-2,Gustavo Murillo,Match Report,Leg 2 of 2; Nacional won; Nacional won on penalty kicks following extra time,2017,brasileirao,24,2017 Cruzeiro,0,0,,,,
2017-05-14,16:00,Série A,Matchweek 1,Sun,Home,W,1,0,São Paulo,38.0,11416.0,Henrique Pacheco Lima,4-2-3-1,3-4-3,Marcelo de Lima Henrique,Match Report,,2017,brasileirao,24,2017 Cruzeiro,8,5,62.5,0.13,0.2,
2017-05-21,19:00,Série A,Matchweek 2,Sun,Away,D,1,1,Sport Recife,56.0,3484.0,Henrique Pacheco Lima,4-2-3-1,4-3-3,Joao Batista de Arruda,Match Report,,2017,brasileirao,24,2017 Cruzeiro,17,5,29.4,0.06,0.2,
2017-05-28,16:00,Série A,Matchweek 3,Sun,Away,W,1,0,Santos,46.0,7025.0,Fábio,4-3-2-1,4-2-3-1,Eduardo Tomaz De Aquino Valadão,Match Report,,2017,brasileirao,24,2017 Cruzeiro,14,2,14.3,0.07,0.5,
2017-06-04,19:00,Série A,Matchweek 4,Sun,Home,L,0,2,Chapecoense,61.0,16591.0,Henrique Pacheco Lima,4-2-3-1,4-1-4-1,Claudio Francisco Lima e Silva,Match Report,,2017,brasileirao,24,2017 Cruzeiro,13,5,38.5,0.0,0.0,
2017-06-08,21:00,Série A,Matchweek 5,Thu,Away,L,0,1,Bahia,41.0,18917.0,Henrique Pacheco Lima,4-2-3-1,4-2-3-1,Wagner do Nascimento Magalhaes,Match Report,,2017,brasileirao,24,2017 Cruzeiro,12,4,33.3,0.0,0.0,
2017-06-11,18:30,Série A,Matchweek 6,Sun,Home,W,2,0,Atl Goianiense,70.0,9912.0,Léo,4-2-3-1,4-2-3-1,Joao Batista de Arruda,Match Report,,2017,brasileirao,24,2017 Cruzeiro,19,9,47.4,0.05,0.11,
2017-06-14,21:45,Série A,Matchweek 7,Wed,Away,L,0,1,Corinthians,48.0,30465.0,Fábio,4-3-2-1,4-2-3-1,Leandro Pedro Vuaden,Match Report,,2017,brasileirao,24,2017 Cruzeiro,17,2,11.8,0.0,0.0,
2017-06-19,20:00,Série A,Matchweek 8,Mon,Home,D,3,3,Grêmio,55.0,20384.0,Léo,4-2-3-1,4-2-3-1,Raphael Claus,Match Report,,2017,brasileirao,24,2017 Cruzeiro,17,5,29.4,0.18,0.6,
2017-06-22,19:30,Série A,Matchweek 9,Thu,Away,L,0,1,Ponte Preta,49.0,4707.0,Fábio,4-2-3-1,4-2-3-1,Grazianni Maciel Rocha,Match Report,,2017,brasileirao,24,2017 Cruzeiro,8,2,25.0,0.0,0.0,
2017-06-25,16:00,Série A,Matchweek 10,Sun,Home,W,2,0,Coritiba,55.0,11778.0,Fábio,4-2-3-1,4-3-3,Marcelo Aparecido Ribeiro De Souza,Match Report,,2017,brasileirao,24,2017 Cruzeiro,22,9,40.9,0.09,0.22,
2017-07-02,16:00,Série A,Matchweek 11,Sun,Away,L,1,3,Atlético Mineiro,53.0,17251.0,Fábio,4-2-3-1,4-2-3-1,Anderson Daronco,Match Report,,2017,brasileirao,24,2017 Cruzeiro,9,4,44.4,0.11,0.25,
2017-07-09,16:00,Série A,Matchweek 12,Sun,Home,W,3,1,Palmeiras,38.0,19090.0,Fábio,4-4-2,4-3-3,Pericles Bassols Pegado Cortez,Match Report,,2017,brasileirao,24,2017 Cruzeiro,11,7,63.6,0.27,0.43,
2017-07-12,21:45,Série A,Matchweek 13,Wed,Away,W,2,0,Ath Paranaense,39.0,13897.0,Fábio,4-2-3-1,4-2-3-1,Braulio da Silva Machado,Match Report,,2017,brasileirao,24,2017 Cruzeiro,15,5,33.3,0.13,0.4,
2017-07-16,16:00,Série A,Matchweek 14,Sun,Home,D,1,1,Flamengo,37.0,43439.0,Fábio,4-2-3-1,4-2-3-1,Rodolpho Toski Marques,Match Report,,2017,brasileirao,24,2017 Cruzeiro,10,3,30.0,0.1,0.33,
2017-07-20,19:30,Série A,Matchweek 15,Thu,Away,D,1,1,Fluminense,51.0,5753.0,Léo,4-4-2,4-3-3,Leandro Pedro Vuaden,Match Report,,2017,brasileirao,24,2017 Cruzeiro,15,6,40.0,0.07,0.17,
2017-07-23,16:00,Série A,Matchweek 16,Sun,Away,L,0,1,Avaí,72.0,6590.0,Henrique Pacheco Lima,4-2-3-1,4-2-3-1,Flavio Rodrigues De Souza,Match Report,,2017,brasileirao,24,2017 Cruzeiro,26,9,34.6,0.0,0.0,
2017-07-30,19:00,Série A,Matchweek 17,Sun,Home,D,0,0,Vitória,63.0,12471.0,Henrique Pacheco Lima,4-2-3-1,4-2-3-1,Dewson Fernando Freitas da Silva,Match Report,,2017,brasileirao,24,2017 Cruzeiro,13,6,46.2,0.0,0.0,
