Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes,season,league_name,league_id
1,Palmeiras,38,24,8,6,62,32,30,80,2.11,32467,Gabriel Jesus - 12,Jailson,→ Copa Libertadores via league finish,2016,brasileirao,24
2,Santos,38,22,5,11,59,35,24,71,1.87,11809,Ricardo Oliveira - 11,Vanderlei,→ Copa Libertadores via league finish,2016,brasileirao,24
3,Flamengo,38,20,11,7,52,35,17,71,1.87,26424,Paolo Guerrero - 9,Alex Muralha,→ Copa Libertadores via league finish,2016,brasileirao,24
4,Atlético Mineiro,37,17,11,9,61,50,11,62,1.68,19231,"Fred, Robinho - 12",Victor Leandro Bagy,→ Copa Libertadores via league finish,2016,brasileirao,24
5,Botafogo (RJ),38,17,8,13,43,39,4,59,1.55,7929,Sassá - 12,Sidão,→ Copa Libertadores via league finish,2016,brasileirao,24
6,Ath Paranaense,38,17,6,15,38,32,6,57,1.5,14926,Pablo - 9,Wéverton,→ Copa Libertadores via league finish,2016,brasileirao,24
7,Corinthians,38,15,10,13,48,42,6,55,1.45,28820,"Guilherme, Marlone - 6",Cássio,→ Copa Sudamericana via league finish,2016,brasileirao,24
8,Grêmio,38,14,11,13,41,44,-3,53,1.39,20448,Luan Vieira - 6,Marcelo Grohe,→ Copa Libertadores via cup win 1,2016,brasileirao,24
9,Ponte Preta,38,15,8,15,48,52,-4,53,1.39,5702,William Pottker - 14,Aranha,→ Copa Sudamericana via league finish,2016,brasileirao,24
10,São Paulo,38,14,10,14,44,36,8,52,1.37,22553,Andrés Chávez - 9,Denis,→ Copa Sudamericana via league finish,2016,brasileirao,24
11,Chapecoense,37,13,13,11,49,53,-4,52,1.41,7211,Bruno Rangel - 10,Danilo,→ Copa Libertadores,2016,brasileirao,24
12,Cruzeiro,38,14,9,15,48,49,-1,51,1.34,21085,Giorgian De Arrascaeta - 9,Fábio,→ Copa Sudamericana via league finish,2016,brasileirao,24
13,Fluminense,38,13,11,14,45,45,0,50,1.32,10241,Cícero Santos - 9,Diego Cavalieri,→ Copa Sudamericana via league finish,2016,brasileirao,24
14,Sport Recife,38,13,8,17,49,55,-6,47,1.24,15706,Diego Souza - 14,Magrão,→ Copa Sudamericana via league finish,2016,brasileirao,24
15,Coritiba,38,11,13,14,41,42,-1,46,1.21,9894,Kléber - 9,Wilson,,2016,brasileirao,24
16,Vitória,38,12,9,17,51,53,-2,45,1.18,13997,Marinho - 12,Fernando Miguel,,2016,brasileirao,24
17,Internacional,38,11,10,17,35,41,-6,43,1.13,25838,Vitinho - 8,Danilo Fernandes,Relegated,2016,brasileirao,24
18,Figueirense,38,8,13,17,30,50,-20,37,0.97,6628,Rafael Moura - 8,Gatito Fernández,Relegated,2016,brasileirao,24
19,Santa Cruz,38,8,7,23,45,69,-24,31,0.82,9856,Grafite - 13,Tiago Cardoso,Relegated,2016,brasileirao,24
20,América (MG),38,7,7,24,23,58,-35,28,0.74,4301,Danilo Barcelos - 4,João Ricardo Riedi,Relegated,2016,brasileirao,24
